,과 목,주석,제 71 (당)기,제 70 (전)기,제 71(당)기,제 70(전)기
0,자 산,nan0,nan0,nan0,nan,nan
1,I. 현금및현금성자산,456.00,9507043419460,18387096921310,nan,nan
2,II. 예치금,456.00,10196900231300,7921750009240,nan,nan
3,III. 당기손익인식유가증권,45745.00,71651431013300,56291645713260,nan,nan
4,IV. 매도가능유가증권,45745.00,706280541970340,282149140048420,nan,nan
5,V. 만기보유유가증권,45745.00,-0,367417950544630,nan,nan
6,VI. 관계기업 및 공동기업투자,9.00,2308275158950,1562200996940,nan,nan
7,VII. 대출채권,451045.00,288127960357180,269150133329010,nan,nan
8,VIII. 유형자산,1213.00,18550454639420,18030982299310,nan,nan
9,IX. 투자부동산,13.00,25535375145210,25170006484650,nan,nan
10,X. 무형자산,13.00,11625520771690,12163746985750,nan,nan
11,XI. 사용권자산,1346.00,787787082720,-0,nan,nan
12,XII. 파생상품자산,4511.00,2979874376290,3771833506000,nan,nan
13,XIII.순확정급여자산,20.00,-0,136792616660,nan,nan
14,XIV. 당기법인세자산,nan0,1414485600640,117820564860,nan,nan
15,XV. 이연법인세자산,38.00,153378265880,147816207270,nan,nan
16,XVI. 기타금융자산,4514.00,17613231125000,14521505236140,nan,nan
17,XVII. 기타자산,15.00,30487807483850,29277359621210,nan,nan
18,XVIII. 특별계정자산,19.00,221280804821440,214626727094870,nan,nan
19,자 산 총 계,nan0,1418500871462670,1320844508179530,nan,nan
20,부 채,nan0,nan0,nan0,nan,nan
21,I. 보험계약부채,1617.00,992681476528610,945721206656290,nan,nan
22,II. 계약자지분조정,18.00,12067585579090,5388852418750,nan,nan
23,III. 당기법인세부채,nan0,50492547730,2909954546590,nan,nan
24,IV. 이연법인세부채,38.00,10661999912530,3804080852050,nan,nan
25,V. 파생상품부채,4511.00,6075630088350,3221947508260,nan,nan
26,VI. 순확정급여부채,20.00,1738021686070,1655529472070,nan,nan
27,VII. 충당부채,21.00,164725421870,153671822020,nan,nan
28,VIII. 기타금융부채,4522.00,25324005929700,20024510020540,nan,nan
29,IX. 기타부채,23.00,1541473200750,1212972719810,nan,nan
30,X. 특별계정부채,19.00,228262708388630,222455211479400,nan,nan
31,부 채 총 계,nan0,1278568119283330,1206547937495780,nan,nan
