,과 목,제 51 기,제 50 기,제 49 기
0,자 산,nan0,nan0,nan0
1,I. 현금및현금성자산,20922900390580,17178401657340,13744489699040
2,II. 당기손익인식금융자산,-0,-0,302675328234910
3,Ⅲ. 당기손익-공정가치측정금융자산,408955909617920,350644922733310,-0
4,Ⅳ. 매도가능금융자산,-0,-0,88385201073540
5,V. 기타포괄손익-공정가치측정금융자산,95663979538790,82030728690740,-0
6,VI. 대여금및수취채권,-0,-0,469234254784590
7,VII. 상각후원가측정금융자산,752760857858720,693853953914060,-0
8,VIII. 관계기업투자자산,14889178507240,10490403791860,6730558616300
9,IX. 유형자산,4562777908700,2321520456020,1985764419000
10,X. 투자부동산,21668712370580,10861795523390,11405996278510
11,XI. 무형자산,6210192066220,6548251512950,6500536328280
12,XII. 기타자산,1318846903080,700237041180,1139106235790
13,XIII. 당기법인세자산,95487205630,32808042640,17853347150
14,XIV. 이연법인세자산,4449130890840,6191971375630,4446903998420
15,자 산 총 계,1331497973258300,1180854994739120,906265993015530
16,부 채,nan0,nan0,nan0
17,I. 당기손익인식금융부채,-0,-0,174324606377750
18,II. 당기손익-공정가치측정금융부채,169163883849080,177400078027110,-0
19,III. 예수부채,59555955960600,54655384085170,51188772304890
20,IV. 차입부채,864531611500660,723634003674510,493901961849890
21,V. 발행사채,62152257336940,42492047897060,30854966720570
22,VI. 충당부채,197871465530,229263153770,203770523320
23,VII. 기타부채,83925880387620,98043431809930,81711356391840
24,Ⅷ. 당기법인세부채,34155286370,877118409370,227820137680
25,IX. 이연법인세부채,-0,-0,7681413230
26,부 채 총 계,1239561615786800,1097331327056920,832420935719170
27,자 본,nan0,nan0,nan0
28,I. 자본금,41019607900000,41019607900000,34019607900000
29,II. 자본잉여금,21572281283440,21539123580190,21646492281720
30,III. 이익잉여금(대손준비금 적립액)(대손준비금 환입(적립)예정금액),"2,755,232,802,959(75,460,938,641)4,837,931,0820","2,250,141,496,796 (88,581,001,870) 13,120,063,2290","1,874,982,489,194(50,848,967,579)(37,732,034,291)0"
31,IV. 자본조정,"(10,414,222,044)0","(6,847,094,937)0","(7,714,262,282)0"
32,V. 기타포괄손익누계액,1237660925590,"(185,614,512,179)0","(77,205,546,703)0"
33,VI. 비지배지분,658621553320,388137305210,278330312550
34,자 본 총 계,91936357471500,83523667682200,73845057296360
35,부 채 및 자 본 총 계,1331497973258300,1180854994739120,906265993015530
36,I. 영업수익,154369160849410,133239400524580,102986498286680
37,1. 수수료수익,9983722898720,10590818070740,8952393086140
38,2. 당기손익인식금융상품관련이익,-0,-0,70026861823990
39,3. 당기손익-공정가치측정금융상품관련이익,92950812752310,82736839308710,-0
40,4. 매도가능금융자산관련이익,-0,-0,1144869939430
41,5. 기타포괄손익-공정가치측정금융상품관련이익,409324399140,48853023880,-0
42,6. 이자수익,nan0,nan0,nan0
43,(1) 이자수익,-0,-0,11527676654040
44,(2) 상각후원가측정금융자산관련이자수익,24890893576150,17936373236510,-0
45,(3) 기타포괄손익-공정가치측정금융자산관련이자수익,1630531397390,1303487290980,-0
46,(4) 당기손익-공정가치측정금융자산관련이자수익,4830297244440,4843868360000,-0
47,7. 대여금및수취채권관련이익,-0,-0,50312421350
48,8. 상각후원가측정금융상품관련이익,21122228120,-0,-0
49,9. 신용손실충당금환입액,71741902450,20182611120,-0
50,10. 외환거래이익,14603857821160,11818952047580,7426589139940
51,11. 기타의영업수익,4976856629530,3940026575060,3857795221790
52,II. 영업비용,147089615111170,128116106847680,96708972581310
53,1. 수수료비용,2149732306040,2038126352640,1610431264530
54,2. 당기손익인식금융상품관련손실,-0,-0,68568529693110
55,3. 당기손익-공정가치측정금융상품관련손실,91287938699930,83783812478790,-0
56,4. 매도가능금융자산관련손실,-0,-0,522262180530
57,5. 기타포괄손익-공정가치측정금융상품관련손실,54202551180,40819584990,-0
58,6. 이자비용,25780431823920,17542122645890,5814526202350
59,7. 대여금및수취채권관련손실,-0,-0,21415459560
60,8. 신용손실충당금전입액,440969752780,176648785550,-0
61,9. 외환거래손실,14320157713380,12927437013740,8983089394870
62,10. 인건비,7387055600270,6582673964340,6472724034180
63,11. 판매관리비,5120625707410,4564306121540,4369189708350
64,12. 기타의영업비용,548500956260,460159900200,346804643830
65,III. 영업이익,7279545738240,5123293676900,6277525705370
66,IV. 영업외손익,1657671286480,726804210510,369964362570
67,1. 영업외수익,2461065976200,1542950875900,1116241820810
68,2. 영업외비용,803394689720,816146665390,746277458240
69,V. 법인세비용차감전순이익,8937217024720,5850097887410,6647490067940
70,VI. 법인세비용,2294718696720,1230001839250,1598152803060
71,VII. 당기순이익,6642498328000,4620096048160,5049337264880
72,1. 지배기업의 소유주지분,6589980556430,4565653138720,5031755036310
73,2. 비지배지분,52517771570,54442909440,17582228570
74,VIII. 기타포괄손익,3094524710940,165666086120,"(206,358,081,953)0"
75,1. 후속적으로 당기손익으로 재분류되는 항목,nan0,nan0,nan0
76,(1) 매도가능금융자산평가손익,-0,-0,"(24,346,294,579)0"
77,(2) 기타포괄손익-공정가치측정금융자산평가손익,299434522850,660100633820,-0
78,(3) 관계기업투자자산평가손익,499780432050,54449345000,"(8,193,453,933)0"
79,(4) 해외사업장순투자에 대한 위험회피,"(3,023,329,610)0","(11,731,060,892)0",125995731330
80,(5) 해외사업환산손익,901708634310,638905548040,"(186,417,906,574)0"
81,2. 후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0
82,(1) 기타포괄손익-공정가치측정지정금융자산평가손익,1456751590990,"(109,625,006,968)0",-0
83,(2) 당기손익-공정가치측정지정금융부채의 신용위험 변동,"(7,794,994)0",25771237860,-0
