,과 목,제51(당)기 기말,제50(전)기 기말,제 49(전전)기 기말,제 51(당)기,제 50(전)기,제 49(전전)기
0,자 산,nan0,nan0,nan0,nan,nan,nan
1,"1. 현금및예치금<주석18,36,40>",8617797942770,10994913475880,19189707002720,nan,nan,nan
2,"2. 당기손익인식금융자산<주석19,38,40>",10897688182380,12507467669280,13572151345380,nan,nan,nan
3,"3. 매도가능금융자산<주석20,38,40>",210356252722900,209321774263140,132846777579720,nan,nan,nan
4,4. 만기보유금융자산,-0,-0,43663013956350,nan,nan,nan
5,"5. 대여금 및 수취채권<주석21,38,40>",156157227919640,126405065528950,110167771026450,nan,nan,nan
6,"6. 위험회피목적파생상품자산<주석30,38,40>",4340602665210,311009306700,167567173300,nan,nan,nan
7,7. 관계기업투자주식<주석22>,2526571782840,2491596973060,2594281359730,nan,nan,nan
8,8. 유형자산<주석23>,3849935251080,3632370904590,3644014139100,nan,nan,nan
9,9. 투자부동산<주석24>,13589523287820,14516670799050,14772081831050,nan,nan,nan
10,10. 무형자산<주석25>,2573809838160,3187697062430,3837725499890,nan,nan,nan
11,11. 재보험자산<주석26>,6437001572790,7349840595440,7618407438000,nan,nan,nan
12,12. 기타자산<주석27>,20333335942910,20914106538870,21065977626020,nan,nan,nan
13,13. 이연법인세자산<주석16>,33248550700,44498742940,50653308620,nan,nan,nan
14,14. 당기법인세자산<주석16>,-0,284406710760,247998512300,nan,nan,nan
15,15. 특별계정자산<주석33>,44043111950540,36672981159160,26745778287600,nan,nan,nan
16,자 산 총 계,483756107609740,448634399730250,400183906086230,nan,nan,nan
17,부 채,nan0,nan0,nan0,nan,nan,nan
18,1. 보험계약부채<주석28>,367188014835060,342649760433690,312390066063260,nan,nan,nan
19,"2. 당기손익인식금융부채<주석29,38,40>",26061368470,63818249770,186704332160,nan,nan,nan
20,"3. 위험회피목적파생상품부채<주석30,38,40>",119515192300,4714283330620,2810051000340,nan,nan,nan
21,4. 확정급여부채<주석31>,228447680010,238209739000,308077135730,nan,nan,nan
22,5. 기타부채<주석32>,17577493897070,10745734191870,11147307594420,nan,nan,nan
23,6. 이연법인세부채<주석16>,3060971312340,3367900496540,3086610952690,nan,nan,nan
24,7. 당기법인세부채<주석16>,984793405900,647510362480,335557928660,nan,nan,nan
25,8. 특별계정부채<주석33>,46240714092880,42759873480520,30250081857210,nan,nan,nan
26,부 채 총 계,435426011784030,405187090284490,360514456864470,nan,nan,nan
27,자 본,nan0,nan0,nan0,nan,nan,nan
28,1. 자본금<주석35>,354000000000,354000000000,354000000000,nan,nan,nan
29,2. 자본잉여금<주석35>,379127815180,379127815180,379127815180,nan,nan,nan
30,3. 자본조정<주석35>,"(29,655,475,800)0","(29,655,475,800)0","(29,655,475,800)0",nan,nan,nan
31,4. 기타포괄손익누계액<주석35>,4483772056050,5464873956550,6121648918990,nan,nan,nan
32,5. 이익잉여금<주석35>,41360008375020,35795187615480,31499876671780,nan,nan,nan
33,(대손준비금 적립액),"(53,279,917,333)0","(49,343,420,177)0","(43,522,149,367)0",nan,nan,nan
34,(비상위험준비금 적립액),"(771,360,661,096)0","(702,064,321,767)0","(642,073,297,158)0",nan,nan,nan
35,(대손준비금 적립예정금액),"(18,005,992,401)0","(3,936,497,156)0","(5,821,270,810)0",nan,nan,nan
36,(비상위험준비금 적립예정금액),"(79,965,510,587)0","(69,296,339,329)0","(59,991,024,609)0",nan,nan,nan
37,지배주주지분,46280353488250,41696634629210,38058098647950,nan,nan,nan
38,6. 비지배지분,2049742337460,1750674816550,1611350573810,nan,nan,nan
39,자 본 총 계,48330095825710,43447309445760,39669449221760,nan,nan,nan
40,부 채 및 자 본 총 계,483756107609740,448634399730250,400183906086230,nan,nan,nan
41,영업수익,nan0,nan0,nan0,17855286055454,17067164333879,15956238881684
42,1. 보험료수익<주석6>,nan0,nan0,nan0,13571668576493,13242171667429,12635915954541
43,2. 재보험금수익<주석6>,nan0,nan0,nan0,552115110701,558303529295,515303405949
44,3. 구상이익<주석29>,nan0,nan0,nan0,9679233956,-,-
45,4. 이자수익<주석7>,nan0,nan0,nan0,1149091373809,1069045648974,1017624005304
46,5. 수수료수익<주석8>,nan0,nan0,nan0,9703078287,11762527479,10849404405
47,6. 배당금수익<주석9>,nan0,nan0,nan0,146743874569,134958153189,104091586134
48,7. 금융상품투자수익<주석10>,nan0,nan0,nan0,1710511762923,773985848837,604680661119
49,8. 외환거래이익<주석11>,nan0,nan0,nan0,146706706125,658165166928,568748186175
50,"9. 기타수익<주석14,26>",nan0,nan0,nan0,375627316087,385986943688,363623206706
51,10. 특별계정수익<주석36>,nan0,nan0,nan0,183439022504,232784848060,135402471351
52,영업비용,nan0,nan0,nan0,16987425788248,16341083340324,15390019270168
53,1. 보험계약부채전입액<주석28>,nan0,nan0,nan0,2569040831094,3029303169483,3201501116225
54,2. 보험금비용<주석6>,nan0,nan0,nan0,4970487146482,4557049713831,4048860882596
55,3. 환급금비용<주석6>,nan0,nan0,nan0,3498005400186,3472602854335,3400694791888
56,4. 배당금비용<주석6>,nan0,nan0,nan0,6447753799,7072478050,7296059666
57,5. 손해조사비<주석6>,nan0,nan0,nan0,118949481054,124111089476,120671080982
58,6. 재보험료비용<주석6>,nan0,nan0,nan0,783757005466,780081556931,801771442806
59,7. 신계약비상각비<주석27>,nan0,nan0,nan0,1135796731479,1042212095184,924940548314
60,8. 구상손실<주석27>,nan0,nan0,nan0,-,2451301079,2171833626
61,9. 이자비용<주석7>,nan0,nan0,nan0,30215607126,17632994554,15092919854
62,10. 금융상품투자비용<주석10>,nan0,nan0,nan0,437912995962,865017406203,879343981041
63,11. 대손상각비<주석21>,nan0,nan0,nan0,18062982217,13710333768,16416366039
64,12. 외환거래손실<주석11>,nan0,nan0,nan0,1286413060260,369690442769,142568138578
65,13. 사업비<주석12>,nan0,nan0,nan0,1442739352512,1369866421752,1236892419217
66,14. 재산관리비<주석13>,nan0,nan0,nan0,103165632086,93805143574,82659346533
67,15. 부동산관리비,nan0,nan0,nan0,8088778862,8656523891,14203350208
68,16. 기타비용<주석14>,nan0,nan0,nan0,394904007159,355034967384,359532521244
69,17. 특별계정비용<주석33>,nan0,nan0,nan0,183439022504,232784848060,135402471351
70,영업이익,nan0,nan0,nan0,867860267206,726080993555,566219611516
71,영업외수익<주석15>,nan0,nan0,nan0,49740104609,14096497530,19580115954
72,영업외비용<주석15>,nan0,nan0,nan0,28301127486,36488291630,40275081702
73,법인세비용차감전순이익,nan0,nan0,nan0,889299244329,703689199455,545524645768
74,법인세비용<주석16>,nan0,nan0,nan0,220102896088,169909934895,115081161705
75,당기순이익,nan0,nan0,nan0,669196348241,533779264560,430443484063
