,과 목,주 석,제67(당) 기말,제66(전) 기말
0,자 산,nan0,nan0,nan0
1,I. 현금및현금성자산,45628.00,7594689227450,397823167947.00
2,II. 예치금,45628.00,1576985089280,693753217551.00
3,III. 유가증권,457112840.00,538526581597740,47251369741201.00
4,IV. 관계기업 및 공동기업투자,939.00,4176216134350,291334387657.00
5,V. 대출채권,4510283941.00,176533916566650,17860440277760.00
6,VI. 유형자산,121339.00,15459726394790,1475453917778.00
7,VII. 투자부동산,1213.00,26852911727900,2705723134679.00
8,VIII. 무형자산,13.00,1043222398210,96657114424.00
9,IX. 파생상품자산,451128.00,580659604460,44670946313.00
10,X. 당기법인세자산,nan0,658258668140,21609163776.00
11,XI. 이연법인세자산,37.00,153201440880,7019763581.00
12,XII. 기타금융자산,45142839.00,8734146509120,972676269408.00
13,XIII. 기타자산,15.00,23335841146770,2444759860217.00
14,XIV. 특별계정자산,20.00,190075476689860,17862923233114.00
15,자 산 총 계,nan0,995301833195600,92126214195406.00
16,부 채,nan0,nan0,nan0
17,I. 보험계약부채,161718.00,677659455180400,62055998366182.00
18,II. 계약자지분조정,19.00,11482765263660,1046959013808.00
19,III. 당기법인세부채,nan0,47749133720,8308102021.00
20,IV. 이연법인세부채,37.00,5981290313590,516569331218.00
21,V. 파생상품부채,451128.00,6407258381840,332037424258.00
22,VI. 순확정급여부채,21.00,326856907070,59548363107.00
23,VII. 충당부채,22.00,128623866880,13805381801.00
24,VIII. 기타금융부채,45232839.00,10031627955250,1124497133150.00
25,IX. 기타부채,24.00,2184498711860,213478237353.00
26,X. 특별계정부채,1720.00,194624133486110,18102851822610.00
27,부 채 총 계,nan0,908874259200380,83474053175508.00
28,자 본,nan0,nan0,nan0
29,지배기업의 소유주에게 귀속되는 자본,nan0,nan0,nan0
30,I. 자본금,25.00,43426500000000,4342650000000.00
31,II. 기타불입자본,25.00,"(439,086,941,120)0",148609787390.00
32,III. 기타자본구성요소,26.00,21961197866360,2001793542843.00
33,IV. 이익잉여금,27.00,25426164353980,2158507970133.00
34,비지배지분,nan0,4581186080,599719532.00
35,자 본 총 계,nan0,86427573995220,8652161019898.00
36,부 채 및 자 본 총 계,nan0,995301833195600,92126214195406.00
