,과 목,제 11(당)기,제 10(전) 기,제 9(전전)기
0,자 산,자 산000000,자 산000000,자 산000000
1,"I. 현금 및 예치금 (주석 5, 6, 7, 9, 11, 56)",19745776000000,22257731000000,19343218000000
2,"II. 단기매매금융자산 (주석 5, 6, 7, 8, 9, 12, 16, 18)",18580780000000,17218152000000,15766359000000
3,"III. 당기손익인식지정금융자산 (주석 5, 6, 7, 9, 13)",1414424000000,1045676000000,240597000000
4,"IV. 매도가능금융자산 (주석 5, 6, 7, 8, 9, 14, 16)",37701159000000,35065938000000,29529156000000
5,"V. 만기보유금융자산 (주석 5, 6, 7, 9, 15, 16)",5616734000000,4365450000000,4736987000000
6,"VI. 대출채권 (주석 5, 6, 7, 8, 9, 16, 17, 22)",221336818000000,213963138000000,203597827000000
7,"VII. 위험회피회계파생상품자산 (주석 5, 6, 7, 8, 9, 18)",65442000000,87894000000,96068000000
8,"VIII. 관계기업 및 공동기업 투자주식 (주석 10, 19)",1155939000000,984294000000,948686000000
9,"IX. 유형자산 (주석 10, 20)",2873575000000,2759339000000,2688451000000
10,"X. 투자부동산 (주석 10, 21)",674774000000,512988000000,515431000000
11,"XI. 무형자산 (주석 10, 23)",1091866000000,1258332000000,1457186000000
12,XII. 이연법인세자산 (주석 52),56616000000,51045000000,45595000000
13,XIII. 당기법인세자산,85326000000,7364000000,7316000000
14,XIV. 매각예정비유동자산 (주석 24),415000000,529000000,660000000
15,"XV. 기타자산 (주석 5, 6, 7, 8, 9, 25)",16513064000000,15970376000000,16215102000000
16,자 산 총 계,326912708000000,315548246000000,295188639000000
17,부 채,부 채000000,부 채000000,부 채000000
18,"I. 단기매매금융부채 (주석 5, 6, 7, 8, 9, 18, 26)",5753318000000,5239660000000,4373515000000
19,"II. 당기손익인식지정금융부채 (주석 5, 6, 7, 9, 27)",8037863000000,6687800000000,4904171000000
20,"III. 예수부채 (주석 5, 6, 7, 9, 28)",206810358000000,201896985000000,187225676000000
21,"IV. 차입부채 (주석 5, 6, 7, 8, 9, 29)",22202136000000,23263986000000,21833638000000
22,"V. 사채 (주석 5, 6, 7, 9, 30)",30008472000000,29308115000000,30419564000000
23,"VI. 위험회피회계파생상품부채 (주석 5, 6, 7, 8, 9, 18)",43008000000,50736000000,140081000000
24,VII. 순확정급여부채 (주석 31),161925000000,169168000000,162053000000
25,VIII. 충당부채 (주석 32),338772000000,364295000000,448972000000
26,IX. 이연법인세부채 (주석 52),392623000000,354258000000,304447000000
27,X. 당기법인세부채,14579000000,71675000000,31004000000
28,"XI. 기타부채 (주석 5, 6, 7, 8, 9, 33)",30177910000000,26247926000000,24455893000000
29,부 채 총 계,303940964000000,293654604000000,274299014000000
30,자 본,자 본000000,자 본000000,자 본000000
31,I. 자본금 (주석 34),1480015000000,1449470000000,1449470000000
32,II. 신종자본증권 (주석 34),742890000000,299121000000,299121000000
33,III. 연결자본잉여금 (주석 34),10464530000000,10351748000000,10380574000000
34,IV. 연결자본조정 (주석 35),"(13,232)000000","(13,122)000000","(170,261)000000"
35,V. 연결기타포괄손익누계액 (주석 36),"(6,382)000000",251158000000,"(9,740)000000"
36,VI. 연결이익잉여금 (주석 37),9481847000000,8788923000000,7982838000000
37,지배주주지분,22149668000000,21127298000000,19932002000000
38,VII. 비지배지분,822076000000,766344000000,957623000000
39,자 본 총 계,22971744000000,21893642000000,20889625000000
40,부채및자본총계,326912708000000,315548246000000,295188639000000
