,Unnamed: 0,제 55 기,제 54 기,제 53 기
0,자산,nan0,nan0,nan0
1,유동자산,13671291829533.00,12248547740964.00,13338032506951.00
2,현금및현금성자산,2903538397054.00,2993152157548.00,2698530047186.00
3,단기금융상품,638374234106.00,100721485460.00,1058872464092.00
4,단기매도가능금융자산,0.00,0.00,2032555147.00
5,당기손익-공정가치 측정 금융자산,540080516898.00,0.00,0.00
6,기타포괄손익-공정가치 측정 금융자산,150775000.00,309125000.00,0.00
7,매출채권및기타채권,4883449191052.00,4992458818939.00,5383852843921.00
8,기타유동자산,3006397696200.00,2628871860637.00,2881915458432.00
9,재고자산,1699301019223.00,1533034293380.00,1312829138173.00
10,매각예정자산,0.00,42851484308.00,20521949341.00
11,비유동자산,28735359928183.00,36757503712138.00,31099960933371.00
12,매도가능증권,0.00,0.00,17497195967700.00
13,당기손익-공정가치 측정 금융자산,179429584957.00,24438662149.00,0.00
14,기타포괄손익-공정가치 측정 금융자산,17948249487224.00,23204423401454.00,0.00
15,"종속기업, 관계기업 및 공동기업 투자",3627970854654.00,5770859292420.00,5699709108051.00
16,유형자산,5024403575504.00,4985943781942.00,5281208823038.00
17,투자부동산,40946567415.00,671660504028.00,116280966914.00
18,생물자산,2085120000.00,2203705000.00,2504971000.00
19,무형자산,1061447578310.00,1311472279052.00,1601302846865.00
20,이연법인세자산,97803947621.00,75375626898.00,52815645641.00
21,기타비유동자산,753023212498.00,711126459195.00,848942604162.00
22,자산총계,42406651757716.00,49048902937410.00,44458515389663.00
23,부채,nan0,nan0,nan0
24,유동부채,13016831196271.00,14458305947005.00,14704948364331.00
25,매입채무,1685644632759.00,1785617349572.00,1823809668627.00
26,단기차입금,1369502019982.00,2093310312358.00,1865815270275.00
27,유동성장기채무,1893831818104.00,1346801023457.00,1607366876850.00
28,당기법인세부채,475590144534.00,51742303246.00,51527848972.00
29,기타유동부채,7592262580892.00,9180834958372.00,9356428699607.00
30,비유동부채,6840885513699.00,9439346864019.00,8647856338361.00
31,사채 및 장기차입금,1253311935545.00,2594095375918.00,3657277698204.00
32,순확정급여부채,107722811019.00,58356609520.00,100687333311.00
33,이연법인세부채,4964980313069.00,6295262683649.00,4253106577684.00
34,충당부채,321504380655.00,257024735087.00,278292233656.00
35,기타비유동부채,193366073411.00,234607459845.00,358492495506.00
36,부채총계,19857716709970.00,23897652811024.00,23352804702692.00
37,자본,nan0,nan0,nan0
38,지배기업 소유주지분,19946590008044.00,22556751660320.00,18301586552940.00
39,자본금,19131748300.00,19131748300.00,19131748300.00
40,자본잉여금,10468876474994.00,10468265087341.00,10468266027901.00
41,기타자본,2509117064677.00,6313949716829.00,2584211217939.00
42,이익잉여금,6949464720073.00,5755405107850.00,5229977558800.00
43,비지배지분,2602345039702.00,2594498466066.00,2804124134031.00
