,과 목,제52(당)기 기말,제51(전)기 기말,제 50(전전)기 기말,제 52(당)기,제 51(전)기,제 50(전전)기
0,자 산,nan0,nan0,nan0,nan,nan,nan
1,"1. 현금및예치금<주석18,36,40>",13555239102150,8617797942770,10994913475880,nan,nan,nan
2,"2. 당기손익인식금융자산<주석19,38,40>",11274489072220,10897688182380,12507467669280,nan,nan,nan
3,"3. 매도가능금융자산<주석20,38,40>",214810863991910,210356252722900,209321774263140,nan,nan,nan
4,"4. 대여금 및 수취채권<주석21,38,40>",177851392605990,156157227919640,126405065528950,nan,nan,nan
5,"5. 위험회피목적파생상품자산<주석30,38,40>",1532453982090,4340602665210,311009306700,nan,nan,nan
6,6. 관계기업투자주식<주석22>,2533972838750,2526571782840,2491596973060,nan,nan,nan
7,7. 유형자산<주석23>,4019075332620,3849935251080,3632370904590,nan,nan,nan
8,8. 투자부동산<주석24>,13278136397900,13589523287820,14516670799050,nan,nan,nan
9,9. 무형자산<주석25>,1974504149850,2573809838160,3187697062430,nan,nan,nan
10,10. 재보험자산<주석26>,6252664837510,6437001572790,7349840595440,nan,nan,nan
11,11. 기타자산<주석27>,19723876218090,20333335942910,20914106538870,nan,nan,nan
12,12. 이연법인세자산<주석16>,243658732490,33248550700,44498742940,nan,nan,nan
13,13. 당기법인세자산<주석16>,-0,-0,284406710760,nan,nan,nan
14,14. 특별계정자산<주석33>,42240696139770,44043111950540,36672981159160,nan,nan,nan
15,자 산 총 계,509291023401340,483756107609740,448634399730250,nan,nan,nan
16,부 채,nan0,nan0,nan0,nan,nan,nan
17,1. 보험계약부채<주석28>,387547446464590,367188014835060,342649760433690,nan,nan,nan
18,"2. 당기손익인식금융부채<주석29,38,40>",35147977970,26061368470,63818249770,nan,nan,nan
19,"3. 위험회피목적파생상품부채<주석30,38,40>",620425477850,119515192300,4714283330620,nan,nan,nan
20,4. 확정급여부채<주석31>,316642336640,228447680010,238209739000,nan,nan,nan
21,5. 기타부채<주석32>,18626587878470,17577493897070,10745734191870,nan,nan,nan
22,6. 이연법인세부채<주석16>,3664607635400,3060971312340,3367900496540,nan,nan,nan
23,7. 당기법인세부채<주석16>,464996644700,984793405900,647510362480,nan,nan,nan
24,8. 특별계정부채<주석33>,45087587944400,46240714092880,42759873480520,nan,nan,nan
25,부 채 총 계,456363442360020,435426011784030,405187090284490,nan,nan,nan
26,자 본,nan0,nan0,nan0,nan,nan,nan
27,1. 자본금<주석35>,354000000000,354000000000,354000000000,nan,nan,nan
28,2. 자본잉여금<주석35>,379127815180,379127815180,379127815180,nan,nan,nan
29,3. 자본조정<주석35>,"(29,655,475,800)0","(29,655,475,800)0","(29,655,475,800)0",nan,nan,nan
30,4. 기타포괄손익누계액<주석35>,5322899728100,4483772056050,5464873956550,nan,nan,nan
31,5. 이익잉여금<주석35>,45218708854600,41360008375020,35795187615480,nan,nan,nan
32,(대손준비금 적립액),"(71,285,909,734)0","(53,279,917,333)0","(49,343,420,177)0",nan,nan,nan
33,(비상위험준비금 적립액),"(851,326,171,683)0","(771,360,661,096)0","(702,064,321,767)0",nan,nan,nan
34,(대손준비금 적립예정금액),"(11,384,754,825)0","(18,005,992,401)0","(3,936,497,156)0",nan,nan,nan
35,(비상위험준비금 적립예정금액),"(80,894,066,580)0","(79,965,510,587)0","(69,296,339,329)0",nan,nan,nan
36,지배주주지분,50978181639880,46280353488250,41696634629210,nan,nan,nan
37,6. 비지배지분,1949399401440,2049742337460,1750674816550,nan,nan,nan
38,자 본 총 계,52927581041320,48330095825710,43447309445760,nan,nan,nan
39,부 채 및 자 본 총 계,509291023401340,483756107609740,448634399730250,nan,nan,nan
40,영업수익,nan0,nan0,nan0,17454511735438,17855286055454,17067164333879
41,1. 보험료수익<주석6>,nan0,nan0,nan0,13694903918841,13571668576493,13242171667429
42,2. 재보험금수익<주석6>,nan0,nan0,nan0,572687287879,552115110701,558303529295
43,3. 구상이익<주석29>,nan0,nan0,nan0,10425295349,9679233956,-
44,4. 이자수익<주석7>,nan0,nan0,nan0,1271241145006,1149091373809,1069045648974
45,5. 수수료수익<주석8>,nan0,nan0,nan0,8690691406,9703078287,11762527479
46,6. 배당금수익<주석9>,nan0,nan0,nan0,150551979079,146743874569,134958153189
47,7. 금융상품투자수익<주석10>,nan0,nan0,nan0,723923745697,1710511762923,773985848837
48,8. 외환거래이익<주석11>,nan0,nan0,nan0,476659852308,146706706125,658165166928
49,"9. 기타수익<주석14,26>",nan0,nan0,nan0,411621739634,375627316087,385986943688
50,10. 특별계정수익<주석36>,nan0,nan0,nan0,133806080239,183439022504,232784848060
51,영업비용,nan0,nan0,nan0,16733798427809,16987425788248,16341083340324
52,1. 보험계약부채전입액<주석28>,nan0,nan0,nan0,2037324168536,2569040831094,3029303169483
53,2. 보험금비용<주석6>,nan0,nan0,nan0,5684187801355,4970487146482,4557049713831
54,3. 환급금비용<주석6>,nan0,nan0,nan0,3474180520751,3498005400186,3472602854335
55,4. 배당금비용<주석6>,nan0,nan0,nan0,6262064705,6447753799,7072478050
56,5. 손해조사비<주석6>,nan0,nan0,nan0,128437766586,118949481054,124111089476
57,6. 재보험료비용<주석6>,nan0,nan0,nan0,806068720594,783757005466,780081556931
58,7. 신계약비상각비<주석27>,nan0,nan0,nan0,1255765834667,1135796731479,1042212095184
59,8. 구상손실<주석27>,nan0,nan0,nan0,-,-,2451301079
60,9. 이자비용<주석7>,nan0,nan0,nan0,42611716337,30215607126,17632994554
61,10. 금융상품투자비용<주석10>,nan0,nan0,nan0,992200075071,437912995962,865017406203
62,11. 대손상각비<주석21>,nan0,nan0,nan0,14603462659,18062982217,13710333768
63,12. 외환거래손실<주석11>,nan0,nan0,nan0,164938814998,1286413060260,369690442769
64,13. 사업비<주석12>,nan0,nan0,nan0,1486212400502,1442739352512,1369866421752
65,14. 재산관리비<주석13>,nan0,nan0,nan0,98724398655,103165632086,93805143574
66,15. 부동산관리비,nan0,nan0,nan0,16421080959,8088778862,8656523891
67,16. 기타비용<주석14>,nan0,nan0,nan0,392053521195,394904007159,355034967384
68,17. 특별계정비용<주석33>,nan0,nan0,nan0,133806080239,183439022504,232784848060
69,영업이익,nan0,nan0,nan0,720713307629,867860267206,726080993555
70,영업외수익<주석15>,nan0,nan0,nan0,29669083352,49740104609,14096497530
71,영업외비용<주석15>,nan0,nan0,nan0,15091927536,28301127486,36488291630
72,법인세비용차감전순이익,nan0,nan0,nan0,735290463445,889299244329,703689199455
73,법인세비용<주석16>,nan0,nan0,nan0,197516684077,220102896088,169909934895
74,당기순이익,nan0,nan0,nan0,537773779368,669196348241,533779264560
75,"지배주주지분 당기순이익<주석5,17>",nan0,nan0,nan0,532538849876,661145875416,523652450822
76,비지배주주지분 당기순이익,nan0,nan0,nan0,5234929492,8050472825,10126813738
77,기타포괄손실,nan0,nan0,nan0,73536077237,"(101,822,815,784)","(53,585,055,160)"
78,1. 후속적으로 당기손익으로 재분류되는 항목,nan0,nan0,nan0,nan,nan,nan
79,"매도가능금융자산평가이익(손실)<주석20,35>",nan0,nan0,nan0,72031849530,"(52,270,027,153)","(27,497,231,759)"
80,만기보유금융자산평가이익<주석37>,nan0,nan0,nan0,-,-,3066122337
81,"관계기업 기타포괄손익항목에 대한 지분변동<주석22,35>",nan0,nan0,nan0,"(10,080,024,748)","(8,406,877,725)","(7,617,637,477)"
82,"위험회피목적파생상품평가이익(손실)<주석30,35>",nan0,nan0,nan0,"(9,004,533,337)",58321257769,"(14,604,204,291)"
83,해외사업환산이익(손실)<주석35>,nan0,nan0,nan0,11178392258,"(74,482,652,489)",15118849326
84,"특별계정기타포괄이익(손실)<주석33,35>",nan0,nan0,nan0,18558906323,"(20,091,440,227)","(16,862,835,172)"
85,2. 후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0,nan,nan,nan
86,"확정급여부채의 재측정요소<주석31,35>",nan0,nan0,nan0,"(8,718,239,833)","(994,008,629)","(5,188,118,124)"
87,유형자산재평가잉여금<주석35>,nan0,nan0,nan0,"(430,272,956)","(3,899,067,330)",-
88,총포괄이익,nan0,nan0,nan0,611309856605,567373532457,480194209400
89,지배주주지분 총포괄이익,nan0,nan0,nan0,616451617081,563035685366,457975633510
90,비지배주주지분 총포괄이익,nan0,nan0,nan0,"(5,141,760,476)",4337847091,22218575890
91,지배주주기본 및 희석주당이익<주석17>,nan0,nan0,nan0,8413,10445,8273
