,과 목,제50(당)기 기말,제 49(전)기 기말,제 48(전전)기 기말,제 50(당)기,제 49(전)기,제 48(전전)기
0,자 산,nan0,nan0,nan0,nan,nan,nan
1,"1. 현금및예치금<주석18,30,35,39,40,41,43,44,45>",10994913475880,19189707002720,18072524516310,nan,nan,nan
2,"2. 당기손익인식금융자산<주석19,22,30,35,41,42,43,44>",12507467669280,13572151345380,8844205935710,nan,nan,nan
3,"3. 매도가능금융자산<주석20,22,30,34,35,40,41,43,44>",209321774263140,132846777579720,119471508290430,nan,nan,nan
4,"4. 만기보유금융자산<주석20,21,22,30,35,41,43,44>",-0,43663013956350,35422776780660,nan,nan,nan
5,"5. 대여금 및 수취채권<주석23,30,35,40,41,42,43,44,45>",126405065528950,110167771026450,97143965544810,nan,nan,nan
6,"6. 위험회피목적파생상품자산<주석35,41,42,43,44>",311009306700,167567173300,285421174940,nan,nan,nan
7,"7. 관계기업투자주식<주석24,30,40>",2491596973060,2594281359730,2015060530090,nan,nan,nan
8,"8. 유형자산<주석25,40,45>",3632370904590,3644014139100,3564831952380,nan,nan,nan
9,"9. 투자부동산<주석22,26,34>",14516670799050,14772081831050,14402676479360,nan,nan,nan
10,"10. 무형자산<주석27,40,45>",3187697062430,3837725499890,5091255634180,nan,nan,nan
11,"11. 재보험자산<주석28,44>",7349840595440,7618407438000,5182913014870,nan,nan,nan
12,"12. 기타자산<주석29,30,45>",20914106538870,21065977626020,20061193336930,nan,nan,nan
13,13. 이연법인세자산<주석16>,44498742940,50653308620,-0,nan,nan,nan
14,14. 당기법인세자산<주석16>,284406710760,247998512300,54196129420,nan,nan,nan
15,"15. 특별계정자산<주석36,45>",36672981159160,26745778287600,19708135655810,nan,nan,nan
16,자 산 총 계,448634399730250,400183906086230,349320664975900,nan,nan,nan
17,부 채,nan0,nan0,nan0,nan,nan,nan
18,"1. 보험계약부채<주석31,37>",342649760433690,312390066063260,277947711778470,nan,nan,nan
19,"2. 당기손익인식금융부채<주석32,35,41,42,43,44>",63818249770,186704332160,95094352340,nan,nan,nan
20,"3. 위험회피목적파생상품부채<주석35,41,42,43,44>",4714283330620,2810051000340,1609753838930,nan,nan,nan
21,"4. 확정급여부채<주석33,40>",238209739000,308077135730,345964404140,nan,nan,nan
22,"5. 기타부채<주석30,34,40,41,42,43,44,45>",10745734191870,11147307594420,8734860566450,nan,nan,nan
23,6. 이연법인세부채<주석16>,3367900496540,3086610952690,2743286616920,nan,nan,nan
24,7. 당기법인세부채<주석16>,647510362480,335557928660,267252751800,nan,nan,nan
25,8. 특별계정부채<주석36>,42759873480520,30250081857210,21664984506710,nan,nan,nan
26,부 채 총 계,405187090284490,360514456864470,313408908815760,nan,nan,nan
27,자 본,nan0,nan0,nan0,nan,nan,nan
28,"1. 자본금<주석1,38>",354000000000,354000000000,354000000000,nan,nan,nan
29,2. 자본잉여금<주석38>,379127815180,379127815180,379127815180,nan,nan,nan
30,3. 자본조정<주석38>,"(29,655,475,800)0","(29,655,475,800)0","(29,655,475,800)0",nan,nan,nan
31,"4. 기타포괄손익누계액<주석20,33,35,36,38>",5464873956550,6121648918990,5870413715640,nan,nan,nan
32,"5. 이익잉여금<주석5,38>",35795187615480,31499876671780,28229767109270,nan,nan,nan
33,(대손준비금 적립액),"(49,343,420,177)0","(43,522,149,367)0","(35,512,536,321)0",nan,nan,nan
34,(비상위험준비금 적립액),"(702,064,321,767)0","(642,073,297,158)0","(587,798,178,558)0",nan,nan,nan
35,(대손준비금 적립예정금액),"(3,936,497,156)0","(5,821,270,810)0","(8,009,613,046)0",nan,nan,nan
36,(비상위험준비금 적립예정금액),"(69,296,339,329)0","(59,991,024,609)0","(54,275,118,600)0",nan,nan,nan
37,지배주주지분,41696634629210,38058098647950,34536753882090,nan,nan,nan
38,6. 비지배지분,1750674816550,1611350573810,1375002278050,nan,nan,nan
39,자 본 총 계,43447309445760,39669449221760,35911756160140,nan,nan,nan
40,부 채 및 자 본 총 계,448634399730250,400183906086230,349320664975900,nan,nan,nan
41,영업수익<주석40>,nan0,nan0,nan0,17067164333879,15956238881684,14458787480678
42,1. 보험료수익<주석6>,nan0,nan0,nan0,13242171667429,12635915954541,11837105536065
43,2. 재보험금수익<주석6>,nan0,nan0,nan0,558303529295,515303405949,458369265459
44,3. 이자수익<주석7>,nan0,nan0,nan0,1069045648974,1017624005304,944799110654
45,4. 금융상품투자수익<주석10>,nan0,nan0,nan0,773985848837,604680661119,449882814819
46,5. 대손충당금환입,nan0,nan0,nan0,-,-,4749212677
47,6. 외환거래이익<주석11>,nan0,nan0,nan0,658165166928,568748186175,299132352752
48,7. 수수료수익<주석8>,nan0,nan0,nan0,11762527479,10849404405,8597474841
49,8. 배당금수익<주석9>,nan0,nan0,nan0,134958153189,104091586134,88514254757
50,"9. 기타수익<주석14,26>",nan0,nan0,nan0,385986943688,363623206706,314441715747
51,10. 특별계정수익<주석36>,nan0,nan0,nan0,232784848060,135402471351,53195742907
52,영업비용<주석40>,nan0,nan0,nan0,16341083340324,15390019270168,13929988260858
53,"1. 보험계약부채전입액<주석28,31>",nan0,nan0,nan0,3029303169483,3201501116225,3276437453523
54,2. 보험금비용<주석6>,nan0,nan0,nan0,4557049713831,4048860882596,3624402459859
55,3. 환급금비용<주석6>,nan0,nan0,nan0,3472602854335,3400694791888,3203084692166
56,4. 배당금비용<주석6>,nan0,nan0,nan0,7072478050,7296059666,6628798991
57,5. 손해조사비<주석6>,nan0,nan0,nan0,124111089476,120671080982,120603270854
58,6. 재보험료비용<주석6>,nan0,nan0,nan0,780081556931,801771442806,688076733477
59,"7. 사업비<주석12,37>",nan0,nan0,nan0,1369866421752,1236892419217,1145346311841
60,8. 신계약비상각비<주석29>,nan0,nan0,nan0,1042212095184,924940548314,810711402813
61,9. 구상손실<주석29>,nan0,nan0,nan0,2451301079,2171833626,107691104
62,10. 이자비용<주석7>,nan0,nan0,nan0,17632994554,15092919854,13371882089
63,11. 금융상품투자비용<주석10>,nan0,nan0,nan0,865017406203,879343981041,518174378571
64,12. 대손상각비<주석23>,nan0,nan0,nan0,13710333768,16416366039,-
65,13. 외환거래손실<주석11>,nan0,nan0,nan0,369690442769,142568138578,92772295253
66,14. 재산관리비<주석13>,nan0,nan0,nan0,93805143574,82659346533,69752385833
67,15. 부동산관리비,nan0,nan0,nan0,8656523891,14203350208,16257695882
68,16. 기타비용<주석14>,nan0,nan0,nan0,355034967384,359532521244,291065065695
69,17. 특별계정비용<주석36>,nan0,nan0,nan0,232784848060,135402471351,53195742907
70,영업이익,nan0,nan0,nan0,726080993555,566219611516,528799219820
71,영업외수익<주석15>,nan0,nan0,nan0,14096497530,19580115954,30670149970
72,영업외비용<주석15>,nan0,nan0,nan0,36488291630,40275081702,28618781243
73,법인세비용차감전순이익,nan0,nan0,nan0,703689199455,545524645768,530850588547
74,법인세비용<주석16>,nan0,nan0,nan0,169909934895,115081161705,101501306379
75,당기순이익,nan0,nan0,nan0,533779264560,430443484063,429349282168
76,"지배주주지분 당기순이익<주석5,17>",nan0,nan0,nan0,523652450822,418793549251,422051173271
77,비지배주주지분 당기순이익,nan0,nan0,nan0,10126813738,11649934812,7298108897
78,기타포괄손익,nan0,nan0,nan0,"(53,585,055,160)",26920030379,397603949856
79,1. 후속적으로 당기손익으로 재분류되는 항목,nan0,nan0,nan0,nan,nan,nan
80,"매도가능금융자산평가이익(손실)<주석20,38>",nan0,nan0,nan0,"(27,497,231,759)",1607217427,353578033464
81,만기보유금융자산평가이익<주석38>,nan0,nan0,nan0,3066122337,5964136023,2005698783
82,"관계기업 기타포괄손익항목에 대한 지분변동<주석24,38>",nan0,nan0,nan0,"(7,617,637,477)",1611509105,3631368603
83,"위험회피목적파생상품평가손실<주석35,38>",nan0,nan0,nan0,"(14,604,204,291)","(24,543,003,317)","(7,150,642,502)"
84,해외사업환산이익<주석38>,nan0,nan0,nan0,15118849326,50370521667,27644689591
85,"특별계정기타포괄이익(손실)<주석36,38>",nan0,nan0,nan0,"(16,862,835,172)","(742,065,367)",23645021063
86,2. 후속적으로 당기손익으로 재분류되지 않는 항목,nan0,nan0,nan0,nan,nan,nan
87,"확정급여부채의 재측정요소<주석33,38>",nan0,nan0,nan0,"(5,188,118,124)","(7,348,285,159)","(5,750,219,146)"
88,총포괄이익,nan0,nan0,nan0,480194209400,457363514442,826953232024
89,지배주주지분 총포괄이익,nan0,nan0,nan0,457975633510,443917069586,797258371719
90,비지배주주지분 총포괄이익,nan0,nan0,nan0,22218575890,13446444856,29694860305
91,지배주주기본 및 희석주당이익<주석17>,nan0,nan0,nan0,8273,6616,6668
