,과 목,제 48 기,제 47 기,제 46 기
0,자 산,nan0,nan0,nan0
1,I. 현금및현금성자산,20060287211630,3910208243830,1190800912560
2,II. 당기손익인식금융자산,331877918048580,193161838642620,145461242627110
3,III. 매도가능금융자산,87397167506820,24707563111950,22532230290510
4,IV. 대여금및수취채권,100802350495710,55165368541340,46687849162230
5,V. 관계기업투자자산,4151539733820,3571497421180,3781496253430
6,Ⅵ. 유형자산,3477560155290,109186312990,93444805290
7,Ⅶ. 투자부동산,11150863663290,1165304137270,5790667237050
8,VIII. 무형자산,6558813508310,266424447490,280108804270
9,IX. 기타자산,1207068284570,1918182529810,692215897240
10,X. 당기법인세자산,1216314802070,184642689660,205928749080
11,XI. 이연법인세자산,4777876201180,-0,-0
12,자 산 총 계,572677759611270,284160216078140,226715984738770
13,부 채,nan0,nan0,nan0
14,I. 당기손익인식금융부채,220490936364160,96075401677670,80149966521970
15,II. 예수부채,41250752979900,9451348695450,7277246501540
16,III. 차입부채,189468939142010,97151706129860,74849379107440
17,IV. 발행사채,27256250175600,14960656552950,9442622311460
18,V. 충당부채,151521165220,50193027250,44570533030
19,VI. 기타부채,27376013973240,31363049552360,30803302922850
20,VII. 당기법인세부채,25698742000,43870583350,34586715680
21,VIII. 이연법인세부채,-0,543617160460,561012606770
22,부 채 총 계,506020112542130,249639843379350,203162687220740
23,자 본,nan0,nan0,nan0
24,I. 자본금,34019607900000,16980775850000,2094611450000
25,II. 자본잉여금,18132650004590,3210469451460,8522032076000
26,III. 이익잉여금(대손준비금 적립액)(대손준비금 적립예정금액),"1,397,747,543,513(82,105,710,218)31,256,742,6390","1,398,258,400,458(44,214,327,296)(37,891,382,922)0","1,242,972,523,566(48,446,411,505)4,232,084,2090"
27,IV. 자본조정,"(103,038,495,934)0","(56,924,982,587)0","(57,137,488,922)0"
28,V. 기타포괄손익누계액,1289297611110,682095825270,837926492940
29,VI. 비지배지분,269001077650,233697393350,240377152650
30,자 본 총 계,66657647069140,34520372698790,23553297518030
31,부 채 및 자 본 총 계,572677759611270,284160216078140,226715984738770
32,I. 영업수익,78340218006830,41924999223320,33912543878250
33,1. 수수료수익,6712224159740,2961086889390,2562950981520
34,2. 당기손익인식금융상품관련이익,53895942625320,31601319963650,25036951403490
35,3. 매도가능금융자산관련이익,703768549800,904810844090,333882542510
36,4. 이자수익,9255269785080,5105576217360,4979263064110
37,5. 대여금및수취채권관련이익,87478929540,516119860,2109914740
38,6. 외환거래이익,5765844775400,812050347890,551281760910
39,7. 기타의영업수익,1919689181950,539638841080,446104210970
40,II. 영업비용,78308511132220,40440316854130,31917347132150
41,1. 수수료비용,1270674694620,505164999410,330737242960
42,2. 당기손익인식금융상품관련손실,60377761791230,32639450999080,25484187660420
43,3. 매도가능금융자산관련손실,802822698080,497400509560,258660942710
44,4. 이자비용,3829555841330,2397472413720,2105987021170
45,5. 대여금및수취채권관련손실,202057442780,371826536200,125166442620
46,6. 외환거래손실,3732536460090,690123775480,393718930740
47,7. 인건비,4599430751430,1894299552900,1896643505610
48,8. 판매관리비,3329304412600,1390191600310,1278377636530
49,9. 기타의영업비용,164367040060,54386467470,43867749390
50,III. 영업이익,31706874610,1484682369190,1995196746100
51,IV. 영업외손익,177702535620,776341338050,572828001270
52,1. 영업외수익,477478623610,1132642092440,602961612770
53,2. 영업외비용,299776087990,356300754390,30133611500
54,V. 법인세비용차감전순이익,209409410230,2261023707240,2568024747370
55,VI. 법인세비용,52400398810,514628206330,745717753450
56,VII. 당기순이익,157009011420,1746395500910,1822306993920
57,1. 지배기업의 소유주지분,392914990050,1697505375920,1809184822310
58,2. 비지배지분,"(23,590,597,863)0",48890124990,13122171610
59,VIII. 기타포괄손익,546593736300,"(14,944,273,406)0",739560342720
60,1. 후속적으로 당기손익으로 재분류 될 수 있는 항목,nan0,nan0,nan0
61,(1) 매도가능금융자산평가손익,222688173920,"(10,900,364,914)0",511482087090
62,(2) 지분법적용투자주식평가손익,"(2,301,018,762)0",48710323360,228474824530
63,(3) 해외사업환산손익,346915750000,"(8,914,940,828)0","(39,656,890)0"
64,IX. 총포괄이익,703602747720,1596952766850,2561867336640
65,1. 지배기업의 소유주지분,1000116775890,1541674708250,2546497381570
66,2. 비지배지분,"(29,651,402,817)0",55278058600,15369955070
67,X. 주당이익,nan0,nan0,nan0
68,1. 기본 및 희석주당이익,1160,8170,9720
69,Ⅰ. 영업활동으로 인한 현금흐름,50146271583520,"(3,843,474,176,593)0","(513,520,181,492)0"
70,1. 조정후당기순이익,"(666,352,794,916)0","(95,201,237,164)0","(73,708,051,389)0"
71,당기순이익,157009011420,1746395500910,1822306993920
72,이자수익,"(925,526,978,508)0","(510,557,621,736)0","(497,926,306,411)0"
73,배당수익,"(144,722,341,564)0","(50,493,227,524)0","(43,182,921,832)0"
74,이자비용,3829555841330,2397472413720,2105987021170
75,법인세비용,52400398810,514628206330,745717753450
76,2-1. 현금의 유출이 없는 비용의 가산,25500606096130,11166263473810,10073531142720
77,단기매매금융자산평가손실,882313722210,274435084610,141606187630
78,단기매매금융부채평가손실,34578773160,38789769820,90863939550
79,당기손익인식지정금융자산평가손실,330142361420,695589611530,267627026310
80,당기손익인식지정금융자산처분손실,-0,17471223750,-0
81,당기손익인식지정금융부채평가손실,14229263265050,1807004903280,1962595353060
82,파생상품평가손실,8223688766800,6799915487150,6860544230330
83,파생상품거래손실,-0,5853854990,31470118800
84,매도가능금융자산처분손실,296798884910,142856697520,36947504230
85,매도가능금융자산손상차손,506023813170,354543812040,221713438480
86,관계기업투자주식평가손실,44095462410,22817330,3087489760
87,관계기업투자주식처분손실,-0,323703491430,-0
88,종속기업투자주식처분손실,23152710240,-0,-0
89,감가상각비,150609213240,99154370570,112304322570
90,투자부동산감가상각비,102493077730,-0,-0
91,유형자산처분손실,3384007380,1037855280,556611000
92,무형자산상각비,252256224930,29739354820,39381586320
93,무형자산처분손실,1246338230,19228000,-0
94,주식보상비용,93473313140,10717134050,5418472410
95,임차료,20952158560,11971091030,13282549350
96,대손상각비,202057442780,371826536200,125166442620
97,기타대손상각비,82364917780,19500905280,24809106430
98,외화환산손실,17792809950,159168148220,136156763870
99,복구공사손실,689387200,725576850,-0
100,기타영업비용,2610428940,2216520060,-0
101,소송충당부채전입액,619016900,-0,-0
102,2-2. 현금의 유입이 없는 수익의 차감,"(2,383,274,810,094)0","(1,383,442,912,770)0","(1,133,457,167,633)0"
103,단기매매금융자산평가이익,"(73,404,560,555)0","(57,107,075,007)0","(75,477,484,231)0"
104,단기매매금융부채평가이익,"(17,415,437,489)0","(2,867,188,315)0","(2,855,402,904)0"
105,당기손익인식지정금융자산평가이익,"(287,173,190,449)0","(56,389,025,998)0","(56,910,545,853)0"
106,당기손익인식지정금융자산처분이익,"(1,751,750,000)0","(24,105,951,050)0",-0
107,당기손익인식지정금융부채평가이익,"(214,849,432,766)0","(570,048,670,168)0","(285,500,478,097)0"
108,파생상품평가이익,"(1,514,798,801,902)0","(452,141,227,557)0","(625,503,218,629)0"
109,매도가능금융자산처분이익,"(70,376,854,980)0","(90,481,084,409)0","(33,388,254,251)0"
110,매도가능금융자산손상차손환입,-0,-0,-0
111,관계기업투자주식평가이익,"(21,381,903,905)0","(8,391,647,282)0","(25,325,043,562)0"
112,관계기업투자주식처분이익,"(19,274,121)0","(276,099,875)0",-0
113,종속기업투자주식처분이익,"(677,484,890)0","(75,928,396,639)0",-0
114,유형자산처분이익,"(34,694,084)0","(5,677,100)0","(8,361,000)0"
115,무형자산처분이익,"(1,060,170,000)0","(126,666,667)0",-0
116,대손충당금환입,"(8,543,118,353)0","(51,611,986)0","(210,991,474)0"
117,기타대손충당금환입,"(358,000,324)0","(2,124,675,742)0","(739,242,205)0"
118,외화환산이익,"(162,897,368,395)0","(43,380,458,573)0","(27,503,983,054)0"
119,복구공사이익,"(15,486,485)0","(17,456,402)0","(34,162,373)0"
120,소송충당부채환입액,"(8,517,281,396)0",-0,-0
121,2-3. 영업활동으로 인한 자산 부채의 변동,48805824417530,"(3,773,282,322,308)0","(590,001,494,842)0"
122,기타예금,3769716924540,"(56,349,327,720)0",753408833240
123,예치금,1383327771830,"(429,189,451,441)0","(188,157,290,015)0"
124,단기매매금융자산,49821936239570,"(3,959,610,771,502)0","(1,546,833,781,380)0"
125,단기매매이외의 당기손익인식금융자산,19232086864980,"(337,841,322,361)0",196045942500
126,대여금및수취채권,"(413,620,061,840)0","(106,009,466,873)0","(184,575,339,983)0"
127,기타자산,28272808368180,"(449,956,633,640)0",5404443939860
128,예수부채,3305010285030,2171781345860,706923280710
129,단기매매금융부채,1199500304910,"(47,364,162,798)0","(247,796,613,684)0"
130,단기매매이외의 당기손익인식금융부채,"(2,765,402,576,730)0",13504611885480,12284225177990
131,기타부채,"(2,634,354,284,800)0",459956325930,"(357,033,187,210)0"
132,충당부채,"(4,479,310,781)0","(596,141,700)0","(110,000,000)0"
133,3. 이자의 수취,9375322228180,5208899597830,4847198355970
134,4. 이자의 지급,"(368,853,150,370)0","(213,389,771,018)0","(207,972,362,112)0"
135,5. 배당금 수취,1443662005780,504378377720,431829218320
136,6. 법인세 지급,"(79,433,561,030)0","(66,112,078,269)0","(43,636,977,217)0"
137,Ⅱ. 투자활동으로 인한 현금흐름,"(53,991,075,758)0","(3,632,910,825)0","(600,881,420,027)0"
138,1. 투자활동으로 인한 현금유입액,142466693476340,10204864503130,6116851998990
139,매도가능금융자산의 감소,142408209471610,8442846731370,6045800026100
140,관계기업투자자산의 감소,24182285620,28843450000,2182000000
141,종속기업투자자산의 감소,-0,1633710225580,-0
142,유형자산의 처분,2366189530,83873580,93620000
143,무형자산의 처분,12931716760,5424000000,-0
144,보증금의 감소,19003812820,93956222600,68776352890
145,합병으로 인한 현금증가,-0,-0,-0
146,2. 투자활동으로 인한 현금유출액,"(14,300,660,423,392)0","(1,024,119,361,138)0","(1,212,566,619,926)0"
147,매도가능금융자산의 증가,"(12,336,928,887,777)0","(938,293,511,761)0","(858,351,676,620)0"
148,관계기업투자주식의 증가,"(18,621,054,000)0","(29,000,000)0","(320,319,718,550)0"
149,종속기업투자주식의 증가,"(950,326,444,746)0",-0,-0
150,유형자산의 취득,"(52,619,976,979)0","(6,795,605,321)0","(3,699,558,176)0"
151,투자부동산의 취득,"(913,116,553,799)0","(74,827,928,849)0","(27,826,292,734)0"
152,무형자산의 취득,"(20,832,905,175)0","(2,078,538,824)0","(518,921,900)0"
153,보증금의 증가,"(8,214,600,916)0","(2,094,776,383)0","(1,850,451,946)0"
154,Ⅲ. 재무활동으로 인한 현금흐름,"(3,363,518,055,190)0",41128079266620,10103604608880
155,1. 재무활동으로 인한 현금유입액,160573827060,41515410690900,10386766809930
156,차입부채의 순증가,-0,25332440329080,5884506034190
157,발행사채의 순증가,-0,5517000000000,4245228688130
158,유상증자,-0,9538310991980,-0
159,자기주식의 처분,-0,1725864800,4932087610
160,기타부채의 증가,160573827060,1125933505040,252100000000
161,2. 재무활동으로 인한 현금유출액,"(3,379,575,437,896)0","(38,733,142,428)0","(28,316,220,105)0"
162,차입부채의 순감소,"(2,759,279,173,110)0",-0,-0
163,발행사채의 순감소,"(313,892,096,130)0",-0,-0
164,자기주식의 취득,"(113,805,572,290)0",-0,"(682,567,873)0"
165,배당금의 지급,"(150,824,057,784)0","(4,132,760,700)0","(14,447,845,650)0"
166,기타부채의 감소,"(41,774,538,582)0","(20,950,988,940)0","(13,185,806,582)0"
167,비지배지분의 감소,-0,"(13,649,392,788)0",-0
168,기타자본조정의 감소,-0,-0,-0
169,IV. 현금및현금성자산의 환율변동 효과,178898693760,62398938830,13209380780
170,V. 현금및현금성자산의 순증감,16150078967800,2719407331270,"(102,720,202,553)0"
