,rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,thstrm_add_amount
0,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_CurrentAssets,유동자산,-,제 94 기,1048340402939,제 93 기,959383641681,제 92 기,841265089675,1,
1,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_CashAndCashEquivalents,현금및현금성자산,-,제 94 기,244854557115,제 93 기,221805288143,제 92 기,155680459216,2,
2,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,단기금융상품,-,제 94 기,10793948161,제 93 기,10958967057,제 92 기,35024609489,13,
3,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,단기투자자산,-,제 94 기,230785395208,제 93 기,247181797307,제 92 기,236962509351,14,
4,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,매출채권,-,제 94 기,235586779277,제 93 기,214159391257,제 92 기,218848737881,15,
5,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,미수금,-,제 94 기,13035911977,제 93 기,21224174547,제 92 기,20720216748,16,
6,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_Inventories,재고자산,-,제 94 기,310649129347,제 93 기,242348899669,제 92 기,172305189757,17,
7,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,선급금,-,제 94 기,1190679544,제 93 기,824760275,제 92 기,910521983,34,
8,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,선급비용,-,제 94 기,1198278315,제 93 기,862140924,제 92 기,755668489,35,
9,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,보증금,-,제 94 기,245723995,제 93 기,18222502,제 92 기,57176761,36,
10,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_NoncurrentAssets,비유동자산,-,제 94 기,997600638077,제 93 기,920944976462,제 92 기,774706887985,68,
11,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,장기금융상품,-,제 94 기,157000000,제 93 기,76000000,제 92 기,83500000,69,
12,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,장기투자자산,-,제 94 기,146524559462,제 93 기,117819971506,제 92 기,69586565721,70,
13,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_InvestmentAccountedForUsingEquityMethod,관계기업투자 및 공동기업투자,-,제 94 기,376673767642,제 93 기,354115528692,제 92 기,328304914827,71,
14,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_PropertyPlantAndEquipment,유형자산,-,제 94 기,333946657459,제 93 기,307828551099,제 92 기,236361901674,72,
15,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_InvestmentProperty,투자부동산,-,제 94 기,111527423399,제 93 기,119159893139,제 92 기,120206927351,112,
16,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_IntangibleAssetsOtherThanGoodwill,무형자산,-,제 94 기,15871922111,제 93 기,11835717204,제 92 기,9714110043,113,
17,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,장기보증금,-,제 94 기,11360224000,제 93 기,8731154000,제 92 기,7016111000,132,
18,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,파생상품자산,-,제 94 기,,제 93 기,,제 92 기,2489055341,133,
19,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_DeferredTaxAssets,이연법인세자산,-,제 94 기,1539084004,제 93 기,1378160822,제 92 기,943802028,148,
20,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_Assets,자산총계,-,제 94 기,2045941041016,제 93 기,1880328618143,제 92 기,1615971977660,166,
21,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_CurrentLiabilities,유동부채,-,제 94 기,324433493084,제 93 기,356631230430,제 92 기,255146568996,168,
22,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,매입채무,-,제 94 기,142132951200,제 93 기,151445207574,제 92 기,125678686567,169,
23,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,미지급금,-,제 94 기,29976085562,제 93 기,47741566794,제 92 기,25907487587,170,
24,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,미지급비용,-,제 94 기,1886521897,제 93 기,1314451326,제 92 기,1027021276,171,
25,20170331002054,11011,2016,00145109,BS,재무상태표,dart_PaymentsOfIncomeTaxesPayable,미지급법인세,-,제 94 기,22693447143,제 93 기,20648459602,제 92 기,17116489578,172,
26,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,예수금,-,제 94 기,63564548824,제 93 기,58488779134,제 92 기,28107003988,173,
27,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,예수보증금,-,제 94 기,7824186000,제 93 기,11382186000,제 92 기,11209880000,174,
28,20170331002054,11011,2016,00145109,BS,재무상태표,dart_ShortTermBorrowings,단기차입금,-,제 94 기,51100000000,제 93 기,63100000000,제 92 기,36100000000,184,
29,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,선수금,-,제 94 기,5752458,제 93 기,10580000,제 92 기,,185,
30,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,유동성장기부채,-,제 94 기,5250000000,제 93 기,2500000000,제 92 기,10000000000,194,
31,20170331002054,11011,2016,00145109,BS,재무상태표,ifrs_NoncurrentLiabilities,비유동부채,-,제 94 기,224955192891,제 93 기,159757475318,제 92 기,84960729018,200,
32,20170331002054,11011,2016,00145109,BS,재무상태표,dart_PostemploymentBenefitObligations,순확정급여부채,-,제 94 기,31635804883,제 93 기,32659369947,제 92 기,24943940395,201,
33,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,반품충당부채,-,제 94 기,6589571551,제 93 기,3114171146,제 92 기,3114171146,204,
34,20170331002054,11011,2016,00145109,BS,재무상태표,-표준계정코드 미사용-,기타충당부채,-,제 94 기,8854515596,제 93 기,8172774412,제 92 기,5359495022,205,
