,과 목,주 석,제 68 (당)기,제 67 (전)기,주석
0,자 산,nan0,nan0,nan0,nan
1,I. 현금및현금성자산,456.00,8514740720660,7594689227450,nan
2,II. 예치금,456.00,6176812370160,1576985089280,nan
3,III. 당기손익인식유가증권,45745.00,26296836957600,23681407629470,nan
4,IV. 매도가능유가증권,45745.00,604842475536650,514845173968270,nan
5,V. 관계기업 및 공동기업투자,9.00,1265502012730,4176216134350,nan
6,VI. 대출채권,451045.00,243710204102280,176533916566650,nan
7,VII. 유형자산,1213.00,18675703731660,15459726394790,nan
8,VIII. 투자부동산,13.00,28211376455190,26852911727900,nan
9,IX.무형자산,13.00,14366301793150,1043222398210,nan
10,X. 파생상품자산,4511.00,1002658862790,580659604460,nan
11,XI. 당기법인세자산,nan0,590613608290,658258668140,nan
12,XII. 이연법인세자산,37.00,158418468290,153201440880,nan
13,XIII. 기타금융자산,4514.00,12745377690950,8410687898560,nan
14,XIV. 기타자산,15.00,28543566428420,23659299757330,nan
15,XV. 특별계정자산,19.00,198710763206220,190075476689860,nan
16,자 산 총 계,nan0,1193811351945040,995301833195600,nan
17,부 채,nan0,nan0,nan0,nan
18,I. 보험계약부채,1617.00,849389426353750,677659455180400,nan
19,II. 계약자지분조정,18.00,7739683333140,11482765263660,nan
20,III. 당기법인세부채,nan0,148212697260,47749133720,nan
21,IV. 이연법인세부채,37.00,6400407792790,5981290313590,nan
22,V. 파생상품부채,4511.00,11263374805560,6407258381840,nan
23,VI. 순확정급여부채,20.00,1842713537040,326856907070,nan
24,VII. 충당부채,21.00,139456484000,128623866880,nan
25,VIII. 기타금융부채,4522.00,15618780300480,10031627955250,nan
26,IX. 기타부채,23.00,2218827800380,2184498711860,nan
27,X. 특별계정부채,19.00,207458828880520,194624133486110,nan
28,부 채 총 계,nan0,1102219711984920,908874259200380,nan
29,자 본,nan0,nan0,nan0,nan
30,지배기업의 소유주에게 귀속되는 자본,nan0,nan0,nan0,nan
31,I. 자본금,24.00,43426500000000,43426500000000,nan
32,II. 기타불입자본,24.00,"(440,193,627,494)0","(439,086,941,120)0",nan
33,III. 기타자본구성요소,25.00,14290393981630,21961197866360,nan
34,IV. 이익잉여금,26.00,31975568183960,25426164353980,nan
35,비지배지분,nan0,6301114069470,4581186080,nan
36,자 본 총 계,nan0,91591639960120,86427573995220,nan
37,부 채 및 자 본 총 계,nan0,1193811351945040,995301833195600,nan
38,I. 영업수익,nan0,206661314182740,169409269424730,nan
39,1. 보험료수익,nan0,130665797822730,102750389541180,28.0
40,2. 재보험수익,nan0,5091419688150,1465709238250,29.0
41,3. 이자수익,nan0,28476194737600,27022861729570,2739.0
42,4. 구상이익,nan0,5497413720,-0,nan
43,5. 당기손익인식유가증권 평가 및 처분이익,nan0,1325356847330,2097408665820,27.0
